k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
11.374311,2564.3484,5517.7373,10467.156,3.5662532,2.319479,73.0,0.4667869,13.034412,64.596794,0.8963666,-0.0042230682,-0.004388216,1.1194497e-06,-0.07808753,-0.06953621,0.33761433,0.004926892
11.392813,2556.9453,5521.6494,10477.418,3.5634232,2.3336349,74.0,0.46657172,13.048586,64.66453,0.897961,-0.003941633,-0.0038385694,-0.00019265013,-0.07845193,-0.0700558,0.3381949,0.0045117424
11.410852,2549.749,5524.754,10487.686,3.5607328,2.3475978,75.0,0.46636182,13.062423,64.73046,0.8995515,-0.0036647457,-0.0032823626,-0.000385985,-0.07880803,-0.07058096,0.33876076,0.0040987367
11.428441,2542.7573,5527.102,10497.958,3.5581846,2.3613718,76.0,0.46616125,13.075931,64.794655,0.90113246,-0.003383259,-0.0027236138,-0.0005688474,-0.079148345,-0.071097255,0.33931157,0.0036856541
11.445582,2535.9666,5528.742,10508.232,3.5557795,2.3749602,77.0,0.4659654,13.089133,64.8572,0.9027039,-0.0031064604,-0.0021592248,-0.00075174216,-0.079483144,-0.0716199,0.33984798,0.0032749644
11.462295,2529.3728,5529.721,10518.509,3.5535164,2.3883672,78.0,0.46577373,13.102053,64.91831,0.90426344,-0.0028368896,-0.0015891591,-0.00093704835,-0.07981055,-0.07214648,0.3403703,0.0028661778
11.47859,2522.971,5530.0835,10528.783,3.551394,2.4015963,79.0,0.46558616,13.11471,64.97799,0.90580994,-0.0025714564,-0.0010141158,-0.0011236935,-0.0801329,-0.072680235,0.3408782,0.0024603566
11.494478,2516.7559,5529.871,10539.055,3.5494103,2.4146512,80.0,0.4654027,13.127108,65.0363,0.9073418,-0.002312248,-0.00043348025,-0.0013122674,-0.08044967,-0.07321722,0.3413733,0.0020584483
11.509973,2510.7217,5529.1245,10549.322,3.5475624,2.427535,81.0,0.4652233,13.139257,65.09337,0.9088589,-0.0020600348,0.00015140028,-0.0015025247,-0.08075924,-0.07375852,0.3418551,0.001660591
11.52508,2504.8625,5527.8804,10559.585,3.545846,2.4402516,82.0,0.4650478,13.151186,65.14913,0.91036004,-0.0018115374,0.0007382784,-0.0016945966,-0.08106432,-0.074303746,0.34232512,0.0012686541
11.539811,2499.1719,5526.175,10569.841,3.5442572,2.4528046,83.0,0.46487623,13.162868,65.203835,0.9118428,-0.0015702418,0.0013281193,-0.0018874005,-0.081363395,-0.07485057,0.3427814,0.0008773136
11.554173,2493.6436,5524.042,10580.089,3.5427911,2.4651968,84.0,0.46470845,13.174338,65.25732,0.9133103,-0.0013329871,0.0019206762,-0.0020818415,-0.08165742,-0.07540239,0.343228,0.0004917976
11.56818,2488.2703,5521.5127,10590.329,3.5414429,2.4774318,85.0,0.46454427,13.185615,65.309746,0.9147589,-0.0011022685,0.0025130552,-0.0022769857,-0.08194499,-0.07595519,0.3436629,0.00011074585
11.581837,2483.0457,5518.6177,10600.559,3.540207,2.4895124,86.0,0.46438375,13.196673,65.36116,0.9161888,-0.0008759233,0.003107381,-0.002473467,-0.082226984,-0.07650978,0.34408638,-0.0002639299
11.595153,2477.9626,5515.3843,10610.778,3.539078,2.501442,87.0,0.46422648,13.207544,65.41153,0.91759944,-0.0006547725,0.003700674,-0.0026707384,-0.082502544,-0.077065,0.34450042,-0.000634865
11.608139,2473.015,5511.839,10620.985,3.5380502,2.5132232,88.0,0.4640726,13.218226,65.460945,0.91899115,-0.0004387166,0.004294816,-0.0028686144,-0.08277435,-0.07762311,0.3449042,-0.0010007098
11.620802,2468.1958,5508.007,10631.181,3.5371175,2.524859,89.0,0.46392342,13.228726,65.50939,0.92036366,-0.00022453652,0.004886672,-0.0030652145,-0.08303636,-0.07817697,0.3452981,-0.0013631121
11.633147,2463.4988,5503.91,10641.362,3.5362744,2.5363522,90.0,0.46378008,13.239031,65.556885,0.92171484,-9.526615e-06,0.005471115,-0.0032533677,-0.08329035,-0.078724876,0.34568432,-0.0017222676
11.645178,2458.9175,5499.571,10651.531,3.535515,2.5477052,91.0,0.46364024,13.249164,65.603516,0.9230475,0.00020298286,0.006055003,-0.0034412215,-0.08353686,-0.07927076,0.34606138,-0.0020764263
11.656908,2454.4456,5495.009,10661.686,3.5348334,2.5589209,92.0,0.4635037,13.259125,65.64928,0.92435914,0.00041068107,0.0066364952,-0.003628311,-0.083777554,-0.079815686,0.34642848,-0.0024250348
11.668346,2450.0771,5490.243,10671.825,3.534224,2.5700011,93.0,0.46337008,13.268916,65.69417,0.9256502,0.0006152262,0.0072149644,-0.0038160533,-0.08401207,-0.08036057,0.34678861,-0.002770554
